date,open,close,high,low,volume,code
2017-03-21 10:00,7.0,6.95,7.1,6.92,181983.0,511
2017-03-21 10:30,6.95,6.94,6.98,6.92,56538.0,511
2017-03-21 11:00,6.94,6.93,6.98,6.93,29964.0,511
2017-03-21 11:30,6.93,6.89,6.95,6.86,68510.0,511
2017-03-21 13:30,6.89,6.93,6.94,6.88,28717.0,511
2017-03-21 14:00,6.94,6.9,6.94,6.89,25365.0,511
2017-03-21 14:30,6.9,6.89,6.9,6.83,56791.0,511
2017-03-21 15:00,6.89,6.89,6.92,6.87,46527.0,511
2017-03-22 10:00,6.8,6.84,6.87,6.76,78183.0,511
2017-03-22 10:30,6.84,6.87,6.93,6.84,59453.0,511
2017-03-22 11:00,6.87,6.87,6.92,6.84,43870.0,511
2017-03-22 11:30,6.87,6.89,6.9,6.84,25745.0,511
2017-03-22 13:30,6.89,6.88,6.9,6.85,20712.0,511
2017-03-22 14:00,6.86,6.86,6.88,6.84,29281.0,511
2017-03-22 14:30,6.86,6.87,6.87,6.83,25290.0,511
2017-03-22 15:00,6.87,6.88,6.89,6.86,34870.0,511
2017-03-23 10:00,6.89,6.88,6.95,6.83,79424.0,511
2017-03-23 10:30,6.89,6.89,6.92,6.87,37763.0,511
2017-03-23 11:00,6.89,6.86,6.9,6.85,27656.0,511
2017-03-23 11:30,6.85,6.86,6.86,6.84,20735.0,511
2017-03-23 13:30,6.86,6.76,6.87,6.73,67869.0,511
2017-03-23 14:00,6.76,6.71,6.79,6.61,95751.0,511
2017-03-23 14:30,6.7,6.74,6.77,6.69,37781.0,511
2017-03-23 15:00,6.74,6.76,6.78,6.73,54102.0,511
2017-03-24 10:00,6.74,6.66,6.78,6.65,70869.0,511
2017-03-24 10:30,6.66,6.71,6.73,6.65,45561.0,511
2017-03-24 11:00,6.71,6.7,6.72,6.68,21681.0,511
2017-03-24 11:30,6.69,6.66,6.72,6.66,18659.0,511
2017-03-24 13:30,6.66,6.66,6.68,6.62,54803.0,511
2017-03-24 14:00,6.65,6.66,6.68,6.64,23044.0,511
2017-03-24 14:30,6.66,6.71,6.71,6.65,28783.0,511
2017-03-24 15:00,6.71,6.69,6.72,6.67,35517.0,511
2017-03-27 10:00,6.63,6.49,6.64,6.4,171881.0,511
2017-03-27 10:30,6.49,6.48,6.53,6.47,37252.0,511
2017-03-27 11:00,6.48,6.47,6.49,6.46,34567.0,511
2017-03-27 11:30,6.47,6.48,6.5,6.43,37372.0,511
2017-03-27 13:30,6.48,6.54,6.55,6.46,25950.0,511
2017-03-27 14:00,6.55,6.57,6.58,6.51,30261.0,511
2017-03-27 14:30,6.57,6.53,6.57,6.51,24463.0,511
2017-03-27 15:00,6.53,6.5,6.55,6.5,39215.0,511
2017-03-28 10:00,6.42,6.6,6.63,6.42,93273.0,511
2017-03-28 10:30,6.6,6.57,6.61,6.54,47336.0,511
2017-03-28 11:00,6.57,6.61,6.63,6.56,32846.0,511
2017-03-28 11:30,6.61,6.59,6.62,6.59,14207.0,511
2017-03-28 13:30,6.59,6.56,6.59,6.55,20500.0,511
2017-03-28 14:00,6.56,6.55,6.58,6.52,21687.0,511
2017-03-28 14:30,6.55,6.54,6.57,6.54,17644.0,511
2017-03-28 15:00,6.54,6.54,6.56,6.53,31826.0,511
2017-03-29 10:00,6.5,6.49,6.57,6.45,61087.0,511
2017-03-29 10:30,6.49,6.44,6.5,6.42,53773.0,511
2017-03-29 11:00,6.43,6.47,6.5,6.43,21382.0,511
2017-03-29 11:30,6.47,6.5,6.51,6.46,14336.0,511
2017-03-29 13:30,6.5,6.44,6.5,6.43,28845.0,511
2017-03-29 14:00,6.44,6.44,6.46,6.43,18575.0,511
2017-03-29 14:30,6.43,6.39,6.44,6.36,77787.0,511
2017-03-29 15:00,6.4,6.21,6.4,6.21,150259.0,511
2017-03-30 10:00,6.19,6.3,6.31,6.09,119375.0,511
2017-03-30 10:30,6.3,6.23,6.3,6.17,70511.0,511
2017-03-30 11:00,6.23,6.18,6.24,6.18,28711.0,511
2017-03-30 11:30,6.18,6.14,6.21,6.13,26467.0,511
2017-03-30 13:30,6.14,6.17,6.17,6.08,58711.0,511
2017-03-30 14:00,6.17,6.17,6.19,6.15,24713.0,511
2017-03-30 14:30,6.17,6.14,6.18,6.08,43713.0,511
2017-03-30 15:00,6.14,6.18,6.18,6.1,60358.0,511
2017-03-31 10:00,6.19,6.22,6.28,6.19,52876.0,511
2017-03-31 10:30,6.22,6.22,6.25,6.21,22652.0,511
2017-03-31 11:00,6.22,6.19,6.23,6.17,29519.0,511
2017-03-31 11:30,6.19,6.15,6.21,6.13,28588.0,511
2017-03-31 13:30,6.15,6.15,6.2,6.14,18118.0,511
2017-03-31 14:00,6.15,6.19,6.2,6.15,14442.0,511
2017-03-31 14:30,6.19,6.21,6.21,6.16,24058.0,511
2017-03-31 15:00,6.21,6.27,6.27,6.21,47517.0,511
2017-04-05 10:00,6.23,6.36,6.38,6.21,70539.0,511
2017-04-05 10:30,6.36,6.4,6.45,6.34,58732.0,511
