关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
600696,4月22日上市公司重要公告集锦：中贝通信签订4.41亿元算力服务合同,停牌一天，于4月23日起实施退市风险警示，公司股票简称变更为“*ST岩石”，公司股票价格的日涨跌幅限制为,2025-04-21 21:37:23,证券日报,http://finance.eastmoney.com/a/202504213383296195.html
600696,白酒A股本周9家上涨 *ST兰黄领涨啤酒股,*ST岩石2.66%列周涨幅第一6月27日，*ST岩石下跌1.95%，以6.55元报收，换手率2.31%，成交量7.72,2025-06-29 23:05:11,上游新闻,http://finance.eastmoney.com/a/202506293443264033.html
600696,酒类股5月盘点 会稽山大涨73.34%列第一,*ST岩石以30.76%列白酒A股月涨幅第一5月30日，*ST岩石上涨0.00%，以7.78元报收，换手率3.32%，,2025-06-02 22:21:08,上游新闻,http://finance.eastmoney.com/a/202506023419965730.html
600696,30年更名10次，岩石股份将“披星戴帽”！去年亏超2亿元，经销商减少3693家,*ST岩石。4月21日晚间，岩石股份披露年报，去年营收2.85亿元、归母净利润为-2.17亿元。,2025-04-22 17:57:13,红星资本局,http://finance.eastmoney.com/a/202504223384513476.html
600696,4月23日盘前停复牌汇总,汇金科技，5家公司复牌：*ST传智、*ST海华、*ST辉丰、*ST岩石、ST华鹏。,2025-04-23 08:50:15,上海证券报·中国证券网,http://finance.eastmoney.com/a/202504233385099574.html
600696,白酒板块全线反攻，皇台酒业涨停,6月20日，白酒板块大举反攻，明显强于整个大市，板块中除*ST岩石外，无一杀跌，皇台酒业涨停、迎驾贡酒、金种子酒、山西汾酒等涨幅居前,2025-06-20 17:35:01,21世纪经济报道,http://finance.eastmoney.com/a/202506203436350915.html
600696,去年营收2.85亿元，亏损超2亿！岩石股份将“披星戴帽”，年报连续三年被出具保留意见,4月23日起实施退市风险警示，其股票简称由“岩石股份”变更为“*ST岩石”,2025-04-21 23:20:35,每日经济新闻,http://finance.eastmoney.com/a/202504213383371462.html
600696,白酒A股本周15家上涨 燕京啤酒领涨啤酒股,*ST岩石周涨幅-9.12%居末6月20日，*ST岩石下跌2.30%，以6.38元报收，换手率1.96%，成交量6.55,2025-06-22 22:57:25,上游新闻,http://finance.eastmoney.com/a/202506223437055070.html
600696,ETF最前线 | 博时上证50ETF(510710)早盘下跌0.21%，白酒概念主题震荡，古越龙山上涨10.03%,截至早盘收盘，白酒概念主题涨跌幅最高的五只股票为：古越龙山(600059.SH)、岩石股份600696.SH)、天佑德酒,2025-05-27 11:56:32,南方财经网,http://finance.eastmoney.com/a/202505273415466698.html
600696,酒类股上半年盘点 白酒黄酒葡萄酒哪瓶更“醉人”,*ST岩石以上半年涨幅-45.45%居末6月30日，*ST岩石上涨2.44%，以6.71元报收，换手率2.27%，成交量,2025-07-01 16:15:50,上游新闻,http://finance.eastmoney.com/a/202507013445086496.html
600696,ETF最前线 | 天弘中证食品饮料ETF(159736)早盘上涨0.42%，白酒概念主题震荡，古越龙山上涨10.03%,截至早盘收盘，白酒概念主题涨跌幅最高的五只股票为：古越龙山(600059.SH)、岩石股份600696.SH)、天佑德酒,2025-05-27 11:56:30,南方财经网,http://finance.eastmoney.com/a/202505273415466282.html
600696,财说 | 利润扭亏 业绩回暖？最小市值酒企皇台酒业还未脱困,产负债率达66.47%，位列申万20家白酒企业倒数第二，仅次于*ST岩石（600696.SH），账上货币资金仅有,2025-04-29 21:58:04,界面新闻,http://finance.eastmoney.com/a/202504293393293814.html
600696,午间涨跌停股分析：39股涨停、52股跌停，ST宇顺13天12板，*ST鹏博连续9日跌停,*ST龙宇连续6日跌停，*ST九有、ST华鹏等连续5日跌停，*ST岩石连续4日跌停，*,2025-04-28 11:49:19,界面新闻,http://finance.eastmoney.com/a/202504283390997550.html
600696,后百亿时代，业绩失约的今世缘选择保守前行,世缘合同负债33.65%的缩水幅度，在众多白酒上市公司中仅次于*ST岩石（600696.SH）和舍得酒业（600702,2025-05-08 22:49:27,国际金融报,http://finance.eastmoney.com/a/202505083399788975.html
