===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
789,,789,2020-03-24 10:30:00,66.08473539908441,66.98920639130147,66.01665693730463,66.74606902780225,33512000.0,0.0,TestStrategy,789,737508.4375,Broker,789,836687.0816507197,976853.8266091044,BuySell,789,,,Trades - Net Profit/Loss,789,,,DrawDown,789,5.639736768434384,6.026412238457193
790,,790,2020-03-24 11:30:00,66.74606902780225,66.96002990768156,66.31814726804365,66.4251277079833,11389600.0,0.0,TestStrategy,790,737508.4791666666,Broker,790,836687.0816507197,976179.8498374847,BuySell,790,,,Trades - Net Profit/Loss,790,,,DrawDown,790,5.704840291448426,6.026412238457193
791,,791,2020-03-24 14:00:00,66.50293166430303,66.66826507148251,65.95830397006482,66.52238265338299,12001700.0,0.0,TestStrategy,791,737508.5833333334,Broker,791,836687.0816507197,976384.085222824,BuySell,791,,,Trades - Net Profit/Loss,791,,,DrawDown,791,5.6851119511411365,6.026412238457193
792,,792,2020-03-24 15:00:00,66.51265715884303,67.15453979848091,66.39595122436339,67.05728485308124,22260500.0,0.0,TestStrategy,792,737508.625,Broker,792,836687.0816507197,977507.3798421903,BuySell,792,,,Trades - Net Profit/Loss,792,,,DrawDown,792,5.5766060794510635,6.026412238457193
793,,793,2020-03-25 10:30:00,68.661991452176,69.25524661911406,68.46748156137664,68.46748156137664,44700500.0,0.0,TestStrategy,793,737509.4375,Broker,793,836687.0816507197,980468.7929296107,BuySell,793,,,Trades - Net Profit/Loss,793,,,DrawDown,793,5.290545144995399,6.026412238457193
794,,794,2020-03-25 11:30:00,68.46748156137664,68.61336397947616,68.16599123063763,68.19516771425754,13552400.0,0.0,TestStrategy,794,737509.4791666666,Broker,794,836687.0816507197,979896.9338506606,BuySell,794,,,Trades - Net Profit/Loss,794,,,DrawDown,794,5.345784497855801,6.026412238457193
795,,795,2020-03-25 14:00:00,68.19516771425754,68.54528551769639,67.97148133983825,68.4188540886768,16168100.0,0.0,TestStrategy,795,737509.5833333334,Broker,795,836687.0816507197,980366.6752369411,BuySell,795,,,Trades - Net Profit/Loss,795,,,DrawDown,795,5.300409315149038,6.026412238457193
796,,796,2020-03-25 15:00:00,68.4188540886768,68.59391299039623,68.25352068149733,68.4188540886768,18398300.0,0.0,TestStrategy,796,737509.625,Broker,796,836687.0816507197,980366.6752369411,BuySell,796,,,Trades - Net Profit/Loss,796,,,DrawDown,796,5.300409315149038,6.026412238457193
797,,797,2020-03-26 10:30:00,67.57273606369957,68.2924226596572,67.51438309645975,68.15626573609765,20092100.0,0.0,TestStrategy,797,737510.4375,Broker,797,836687.0816507197,979815.2396965248,BuySell,797,,,Trades - Net Profit/Loss,797,,,DrawDown,797,5.353675833978719,6.026412238457193
798,,798,2020-03-26 11:30:00,68.16599123063763,69.05101123377473,68.09791276885784,68.64254046309607,14347800.0,0.0,TestStrategy,798,737510.4791666666,Broker,798,836687.0816507197,980836.4166232215,BuySell,798,,,Trades - Net Profit/Loss,798,,,DrawDown,798,5.255034132442285,6.026412238457193
799,,799,2020-03-26 14:00:00,68.71061892487586,68.7592463975757,68.10763826339782,68.22434419787744,9396800.0,0.0,TestStrategy,799,737510.5833333334,Broker,799,836687.0816507197,979958.2044662624,BuySell,799,,,Trades - Net Profit/Loss,799,,,DrawDown,799,5.339865995763616,6.026412238457193
800,,800,2020-03-26 15:00:00,68.22434419787744,68.30214815419718,68.049285296158,68.2632461760373,11150300.0,0.0,TestStrategy,800,737510.625,Broker,800,836687.0816507197,980039.898620398,BuySell,800,,,Trades - Net Profit/Loss,800,,,DrawDown,800,5.331974659640709,6.026412238457193
801,,801,2020-03-27 10:30:00,69.29414859727395,69.31359958635387,68.37995211051692,68.46748156137664,20188100.0,0.0,TestStrategy,801,737511.4375,Broker,801,836687.0816507197,980468.7929296107,BuySell,801,,,Trades - Net Profit/Loss,801,,,DrawDown,801,5.290545144995399,6.026412238457193
802,,802,2020-03-27 11:30:00,68.47720705591661,68.6911679357959,68.10763826339782,68.661991452176,13937700.0,0.0,TestStrategy,802,737511.4791666666,Broker,802,836687.0816507197,980877.2637002893,BuySell,802,,,Trades - Net Profit/Loss,802,,,DrawDown,802,5.251088464380831,6.026412238457193
803,,803,2020-03-27 14:00:00,68.661991452176,68.7592463975757,68.15626573609765,68.33132463781709,11346300.0,0.0,TestStrategy,803,737511.5833333334,Broker,803,836687.0816507197,980182.8633901356,BuySell,803,,,Trades - Net Profit/Loss,803,,,DrawDown,803,5.318164821425605,6.026412238457193
804,,804,2020-03-27 15:00:00,68.35077562689702,68.37995211051692,67.8061479326588,67.8061479326588,14836300.0,0.0,TestStrategy,804,737511.625,Broker,804,836687.0816507197,979079.9923093033,BuySell,804,,,Trades - Net Profit/Loss,804,,,DrawDown,804,5.424697859084946,6.026412238457193
805,,805,2020-03-30 10:30:00,66.71689254418234,67.36850067836022,66.6099121042427,67.04755935854126,19017100.0,0.0,TestStrategy,805,737514.4375,Broker,805,836687.0816507197,977486.9563036563,BuySell,805,,,Trades - Net Profit/Loss,805,,,DrawDown,805,5.578578913481795,6.026412238457193
806,,806,2020-03-30 11:30:00,67.04755935854126,67.12536331486102,66.60018660970273,66.72661803872232,8352800.0,0.0,TestStrategy,806,737514.4791666666,Broker,806,836687.0816507197,976812.9795320366,BuySell,806,,,Trades - Net Profit/Loss,806,,,DrawDown,806,5.643682436495837,6.026412238457193
807,,807,2020-03-30 14:00:00,66.71689254418234,67.48520661283985,66.67799056602247,67.39767716198013,10859700.0,0.0,TestStrategy,807,737514.5833333334,Broker,807,836687.0816507197,978222.203690878,BuySell,807,,,Trades - Net Profit/Loss,807,,,DrawDown,807,5.507556888375557,6.026412238457193
808,,808,2020-03-30 15:00:00,67.38795166744016,67.39767716198013,66.91140243498171,67.25179474388061,8566500.0,0.0,TestStrategy,808,737514.625,Broker,808,836687.0816507197,977915.850612869,BuySell,808,,,Trades - Net Profit/Loss,808,,,DrawDown,808,5.537149398836485,6.026412238457193
809,,809,2020-03-31 10:30:00,68.18544221971756,68.38967760505689,68.0201088125381,68.23406969241739,16803300.0,0.0,TestStrategy,809,737515.4375,Broker,809,836687.0816507197,979978.6280047963,BuySell,809,,,Trades - Net Profit/Loss,809,,,DrawDown,809,5.337893161732883,6.026412238457193
810,,810,2020-03-31 11:30:00,68.23406969241739,68.30214815419718,67.6505400200193,67.94230485621834,8047700.0,0.0,TestStrategy,810,737515.4791666666,Broker,810,836687.0816507197,979365.9218487783,BuySell,810,,,Trades - Net Profit/Loss,810,,,DrawDown,810,5.3970781826547505,6.026412238457193
811,,811,2020-03-31 14:00:00,67.94230485621834,67.94230485621834,67.47548111829987,67.6213635363994,6481900.0,0.0,TestStrategy,811,737515.5833333334,Broker,811,836687.0816507197,978691.9450771585,BuySell,811,,,Trades - Net Profit/Loss,811,,,DrawDown,811,5.462181705668793,6.026412238457193
812,,812,2020-03-31 15:00:00,67.63108903093938,67.63108903093938,67.11563782032106,67.27124573296055,11204400.0,0.0,TestStrategy,812,737515.625,Broker,812,836687.0816507197,977956.697689937,BuySell,812,,,Trades - Net Profit/Loss,812,,,DrawDown,812,5.53320373077502,6.026412238457193
813,,813,2020-04-01 10:30:00,67.10591232578108,68.23406969241739,67.01838287492137,68.05901079069798,16601600.0,0.0,TestStrategy,813,737516.4375,Broker,813,836687.0816507197,979611.0043111856,BuySell,813,,,Trades - Net Profit/Loss,813,,,DrawDown,813,5.373404174285997,6.026412238457193
814,,814,2020-04-01 11:30:00,68.06873628523793,68.53556002315642,67.94230485621834,68.09791276885784,14967100.0,0.0,TestStrategy,814,737516.4791666666,Broker,814,836687.0816507197,979692.6984653212,BuySell,814,,,Trades - Net Profit/Loss,814,,,DrawDown,814,5.365512838163091,6.026412238457193
815,,815,2020-04-01 14:00:00,68.07846177977791,68.38967760505689,67.5921870527795,67.67971650363921,12868100.0,0.0,TestStrategy,815,737516.5833333334,Broker,815,836687.0816507197,978814.4863083621,BuySell,815,,,Trades - Net Profit/Loss,815,,,DrawDown,815,5.450344701484422,6.026412238457193
816,,816,2020-04-01 15:00:00,67.68944199817916,67.70889298725912,67.14481430394096,67.41712815106006,11256000.0,0.0,TestStrategy,816,737516.625,Broker,816,836687.0816507197,978263.0507679458,BuySell,816,,,Trades - Net Profit/Loss,816,,,DrawDown,816,5.503611220314103,6.026412238457193
817,,817,2020-04-02 10:30:00,66.52238265338299,66.76552001688219,65.94857847552485,66.59046111516277,24168200.0,0.0,TestStrategy,817,737517.4375,Broker,817,836687.0816507197,976527.0499925616,BuySell,817,,,Trades - Net Profit/Loss,817,,,DrawDown,817,5.671302112926033,6.026412238457193
818,,818,2020-04-02 11:30:00,66.58073562062279,66.9503044131416,66.46402968614318,66.81414748958203,7559800.0,0.0,TestStrategy,818,737517.4791666666,Broker,818,836687.0816507197,976996.791378842,BuySell,818,,,Trades - Net Profit/Loss,818,,,DrawDown,818,5.625926930219281,6.026412238457193
819,,819,2020-04-02 14:00:00,66.84332397320193,67.23234375480067,66.53210814792294,67.00865738038141,7501200.0,0.0,TestStrategy,819,737517.5833333334,Broker,819,836687.0816507197,977405.2621495207,BuySell,819,,,Trades - Net Profit/Loss,819,,,DrawDown,819,5.5864702496047025,6.026412238457193
820,,820,2020-04-02 15:00:00,66.99893188584143,67.75752045995895,66.9503044131416,67.75752045995895,11973500.0,0.0,TestStrategy,820,737517.625,Broker,820,836687.0816507197,978977.8746166335,BuySell,820,,,Trades - Net Profit/Loss,820,,,DrawDown,820,5.434562029238598,6.026412238457193
821,,821,2020-04-03 10:30:00,67.20316727118076,67.34904968928029,66.82387298412199,67.00865738038141,14553000.0,0.0,TestStrategy,821,737518.4375,Broker,821,836687.0816507197,977405.2621495207,BuySell,821,,,Trades - Net Profit/Loss,821,,,DrawDown,821,5.5864702496047025,6.026412238457193
822,,822,2020-04-03 11:30:00,67.00865738038141,67.18371628210082,66.96002990768156,67.04755935854126,6684100.0,0.0,TestStrategy,822,737518.4791666666,Broker,822,836687.0816507197,977486.9563036563,BuySell,822,,,Trades - Net Profit/Loss,822,,,DrawDown,822,5.578578913481795,6.026412238457193
823,,823,2020-04-03 14:00:00,67.02810836946134,67.02810836946134,66.53210814792294,66.80442199504206,10288300.0,0.0,TestStrategy,823,737518.5833333334,Broker,823,836687.0816507197,976976.3678403081,BuySell,823,,,Trades - Net Profit/Loss,823,,,DrawDown,823,5.627899764250002,6.026412238457193
824,,824,2020-04-03 15:00:00,66.79469650050211,67.01838287492137,66.61963759878267,66.96975540222152,10500000.0,0.0,TestStrategy,824,737518.625,Broker,824,836687.0816507197,977323.5679953849,BuySell,824,,,Trades - Net Profit/Loss,824,,,DrawDown,824,5.594361585727619,6.026412238457193
825,,825,2020-04-07 10:30:00,68.15626573609765,68.35077562689702,67.66026551455926,67.73806947087903,27378700.0,0.0,TestStrategy,825,737522.4375,Broker,825,836687.0816507197,978937.0275395657,BuySell,825,,,Trades - Net Profit/Loss,825,,,DrawDown,825,5.43850769730005,6.026412238457193
826,,826,2020-04-07 11:30:00,67.74779496541899,68.06873628523793,67.68944199817916,67.8645008998986,8696400.0,0.0,TestStrategy,826,737522.4791666666,Broker,826,836687.0816507197,979202.5335405068,BuySell,826,,,Trades - Net Profit/Loss,826,,,DrawDown,826,5.4128608549005754,6.026412238457193
827,,827,2020-04-07 14:00:00,67.8645008998986,68.15626573609765,67.73806947087903,68.10763826339782,11523200.0,0.0,TestStrategy,827,737522.5833333334,Broker,827,836687.0816507197,979713.1220038552,BuySell,827,,,Trades - Net Profit/Loss,827,,,DrawDown,827,5.363540004132358,6.026412238457193
828,,828,2020-04-07 15:00:00,68.09791276885784,68.15626573609765,67.88395188897854,68.049285296158,14336500.0,0.0,TestStrategy,828,737522.625,Broker,828,836687.0816507197,979590.5807726516,BuySell,828,,,Trades - Net Profit/Loss,828,,,DrawDown,828,5.37537700831673,6.026412238457193
829,,829,2020-04-08 10:30:00,67.66026551455926,67.85477540535864,67.42685364560003,67.8061479326588,12722500.0,0.0,TestStrategy,829,737523.4375,Broker,829,836687.0816507197,979079.9923093033,BuySell,829,,,Trades - Net Profit/Loss,829,,,DrawDown,829,5.424697859084946,6.026412238457193
830,,830,2020-04-08 11:30:00,67.8061479326588,67.88395188897854,67.66999100909925,67.8061479326588,4675000.0,0.0,TestStrategy,830,737523.4791666666,Broker,830,836687.0816507197,979079.9923093033,BuySell,830,,,Trades - Net Profit/Loss,830,,,DrawDown,830,5.424697859084946,6.026412238457193
831,,831,2020-04-08 14:00:00,67.8061479326588,67.85477540535864,67.68944199817916,67.7769714490389,8089300.0,0.0,TestStrategy,831,737523.5833333334,Broker,831,836687.0816507197,979018.7216937015,BuySell,831,,,Trades - Net Profit/Loss,831,,,DrawDown,831,5.430616361177133,6.026412238457193
832,,832,2020-04-08 15:00:00,67.79642243811882,67.84504991081867,67.42685364560003,67.48520661283985,10759200.0,0.0,TestStrategy,832,737523.625,Broker,832,836687.0816507197,978406.0155376834,BuySell,832,,,Trades - Net Profit/Loss,832,,,DrawDown,832,5.4898013820989995,6.026412238457193
833,,833,2020-04-09 10:30:00,67.73806947087903,67.90340287805847,67.48520661283985,67.90340287805847,12479700.0,0.0,TestStrategy,833,737524.4375,Broker,833,836687.0816507197,979284.2276946425,BuySell,833,,,Trades - Net Profit/Loss,833,,,DrawDown,833,5.404969518777669,6.026412238457193
834,,834,2020-04-09 11:30:00,67.89367738351851,68.03955980161804,67.8353244162787,67.94230485621834,8658100.0,0.0,TestStrategy,834,737524.4791666666,Broker,834,836687.0816507197,979365.9218487783,BuySell,834,,,Trades - Net Profit/Loss,834,,,DrawDown,834,5.3970781826547505,6.026412238457193
835,,835,2020-04-09 14:00:00,67.94230485621834,67.96175584529828,67.75752045995895,67.84504991081867,7981300.0,0.0,TestStrategy,835,737524.5833333334,Broker,835,836687.0816507197,979161.6864634389,BuySell,835,,,Trades - Net Profit/Loss,835,,,DrawDown,835,5.41680652296204,6.026412238457193
836,,836,2020-04-09 15:00:00,67.8353244162787,67.89367738351851,67.66999100909925,67.72834397633905,7711400.0,0.0,TestStrategy,836,737524.625,Broker,836,836687.0816507197,978916.6040010317,BuySell,836,,,Trades - Net Profit/Loss,836,,,DrawDown,836,5.440480531330783,6.026412238457193
837,,837,2020-04-10 10:30:00,67.73806947087903,69.6442664007128,67.47548111829987,69.52756046623317,30404400.0,0.0,TestStrategy,837,737525.4375,Broker,837,836687.0816507197,982694.9586298094,BuySell,837,,,Trades - Net Profit/Loss,837,,,DrawDown,837,5.075506235645972,6.026412238457193
838,,838,2020-04-10 11:30:00,69.54701145531313,70.34450200759052,69.17744266279432,69.19689365187426,24598100.0,0.0,TestStrategy,838,737525.4791666666,Broker,838,836687.0816507197,982000.5583196557,BuySell,838,,,Trades - Net Profit/Loss,838,,,DrawDown,838,5.142582592690747,6.026412238457193
839,,839,2020-04-10 14:00:00,69.15799167371439,69.1871681573343,68.6036384849362,68.91485431021518,11666000.0,0.0,TestStrategy,839,737525.5833333334,Broker,839,836687.0816507197,981408.2757021716,BuySell,839,,,Trades - Net Profit/Loss,839,,,DrawDown,839,5.1997947795818815,6.026412238457193
840,,840,2020-04-10 15:00:00,68.91485431021518,69.08991321193461,68.71061892487586,69.04128573923477,9956300.0,0.0,TestStrategy,840,737525.625,Broker,840,836687.0816507197,981673.7817031128,BuySell,840,,,Trades - Net Profit/Loss,840,,,DrawDown,840,5.174147937182407,6.026412238457193
841,,841,2020-04-13 10:30:00,68.51610903407648,68.83705035389544,68.08818727431789,68.44803057229669,16278800.0,0.0,TestStrategy,841,737528.4375,Broker,841,836687.0816507197,980427.9458525428,BuySell,841,,,Trades - Net Profit/Loss,841,,,DrawDown,841,5.294490813056863,6.026412238457193
842,,842,2020-04-13 11:30:00,68.44803057229669,68.6036384849362,68.27297167057728,68.34105013235704,6356100.0,0.0,TestStrategy,842,737528.4791666666,Broker,842,836687.0816507197,980203.2869286695,BuySell,842,,,Trades - Net Profit/Loss,842,,,DrawDown,842,5.316191987394873,6.026412238457193
843,,843,2020-04-13 14:00:00,68.35077562689702,68.37022661597695,68.07846177977791,68.14654024155769,6534100.0,0.0,TestStrategy,843,737528.5833333334,Broker,843,836687.0816507197,979794.8161579908,BuySell,843,,,Trades - Net Profit/Loss,843,,,DrawDown,843,5.355648668009452,6.026412238457193
844,,844,2020-04-13 15:00:00,68.13681474701772,68.25352068149733,68.09791276885784,68.20489320879749,6348100.0,0.0,TestStrategy,844,737528.625,Broker,844,836687.0816507197,979917.3573891944,BuySell,844,,,Trades - Net Profit/Loss,844,,,DrawDown,844,5.343811663825081,6.026412238457193
845,,845,2020-04-14 10:30:00,68.73979540849577,69.05101123377473,68.32159914327711,68.7592463975757,14679900.0,0.0,TestStrategy,845,737529.4375,Broker,845,836687.0816507197,981081.4990856287,BuySell,845,,,Trades - Net Profit/Loss,845,,,DrawDown,845,5.231360124073542,6.026412238457193
846,,846,2020-04-14 11:30:00,68.7592463975757,68.89540332113525,68.65226595763603,68.661991452176,5985300.0,0.0,TestStrategy,846,737529.4791666666,Broker,846,836687.0816507197,980877.2637002893,BuySell,846,,,Trades - Net Profit/Loss,846,,,DrawDown,846,5.251088464380831,6.026412238457193
847,,847,2020-04-14 14:00:00,68.661991452176,69.05101123377473,68.50638353953651,68.83705035389544,8953700.0,0.0,TestStrategy,847,737529.5833333334,Broker,847,836687.0816507197,981244.8873939002,BuySell,847,,,Trades - Net Profit/Loss,847,,,DrawDown,847,5.2155774518277065,6.026412238457193
