,持仓金额,账面现金,基金申赎,总资产,份额确认,基金份额,基金净值
2019-09-16,112772.2,675489.17,0.0,788261.37,0.0,745271.6712570862,1.0576832588717628
2019-09-17,109704.5,675489.17,0.0,785193.67,0.0,745271.6712570862,1.0535670417682392
2019-09-18,109469.4,675489.17,0.0,784958.5700000001,0.0,745271.6712570862,1.0532515863322325
2019-09-19,181370.5,605870.0900000001,0.0,787240.5900000001,0.0,745271.6712570862,1.0563135838400013
2019-09-20,183225.8,605885.78,0.0,789111.5800000001,0.0,745271.6712570862,1.0588240643428282
2019-09-23,185847.0,605885.78,0.0,791732.78,0.0,745271.6712570862,1.062341171058529
2019-09-24,185884.90000000002,605885.78,0.0,791770.68,0.0,745271.6712570862,1.0623920249973835
2019-09-25,179406.5,605885.78,0.0,785292.28,0.0,745271.6712570862,1.0536993559347414
2019-09-26,29302.5,750017.63,0.0,779320.13,0.0,745271.6712570862,1.045685969366691
2019-09-27,29370.000000000004,750017.63,0.0,779387.63,0.0,745271.6712570862,1.0457765403659698
2019-09-30,29017.5,750017.63,0.0,779035.13,0.0,745271.6712570862,1.0453035584808468
2019-10-08,29204.999999999996,750017.63,0.0,779222.63,0.0,745271.6712570862,1.0455551445899547
2019-10-09,29287.5,750017.63,0.0,779305.13,0.0,745271.6712570862,1.0456658424779623
2019-10-10,29497.500000000004,750017.63,0.0,779515.13,0.0,745271.6712570862,1.0459476189201633
2019-10-11,29857.500000000004,750017.63,0.0,779875.13,0.0,745271.6712570862,1.0464306642496506
2019-10-14,148225.0,630831.88,0.0,779056.88,0.0,745271.6712570862,1.0453327424695034
2019-10-15,147317.5,530831.88,-100000.0,678149.38,-95663.31937882201,649608.3518782642,1.0439357468838153
2019-10-16,207492.5,470613.82,0.0,678106.3200000001,0.0,649608.3518782642,1.04386946079024
2019-10-17,232717.5,445186.19,0.0,677903.69,0.0,649608.3518782642,1.0435575343819443
2019-10-18,230502.5,445186.19,0.0,675688.69,0.0,649608.3518782642,1.040147787580513
2019-10-21,227870.0,445186.19,0.0,673056.19,0.0,649608.3518782642,1.0360953458402113
2019-10-22,231262.5,445186.19,0.0,676448.69,0.0,649608.3518782642,1.041317723277618
2019-10-23,227345.0,445186.19,0.0,672531.19,0.0,649608.3518782642,1.035287166575764
2019-10-24,313232.5,358890.3,0.0,672122.8,0.0,649608.3518782642,1.0346584954713682
2019-10-25,315902.5,358890.3,0.0,674792.8,0.0,649608.3518782642,1.0387686643019876
2019-10-28,446355.0,233902.81,0.0,680257.81,0.0,649608.3518782642,1.0471814409915092
2019-10-29,441037.5,233902.81,0.0,674940.31,0.0,649608.3518782642,1.0389957395844611
2019-10-30,439042.5,303902.81,70000.0,742945.31,67372.74979394622,716981.1016722105,1.0362132394664705
2019-10-31,441667.5,303902.81,0.0,745570.31,0.0,716981.1016722105,1.0398744238322477
2019-11-01,446935.0,303902.81,0.0,750837.81,0.0,716981.1016722105,1.0472212004595738
2019-11-04,451442.49999999994,283902.81,-20000.0,735345.3099999999,-19098.161869930616,697882.9398022799,1.0536800200451004
2019-11-05,454245.0,283902.81,0.0,738147.81,0.0,697882.9398022799,1.0576957364928963
2019-11-06,448847.5,283902.81,0.0,732750.31,0.0,697882.9398022799,1.0499616313985245
2019-11-07,451865.0,283902.81,0.0,735767.81,0.0,697882.9398022799,1.0542854224355354
2019-11-08,449455.0,283902.81,0.0,733357.81,0.0,697882.9398022799,1.050832121226191
2019-11-11,439842.5,283902.81,0.0,723745.31,0.0,697882.9398022799,1.037058321278132
